vehicles,scheme,mean_ms,std_ms,paper_ms
100,Liu et al.,9.855077138568166,0.08499394961758197,10.0
100,PQAKA,11.303764385283415,0.09089344585840642,11.5
100,UPQ-PAKE,12.26837793031414,0.09266296298551618,12.5
200,Liu et al.,17.05674403309672,0.1297338224604211,17.5
200,PQAKA,19.00544642502624,0.13865497097354,19.0
200,UPQ-PAKE,20.12005986909682,0.1413305674647065,20.2
300,Liu et al.,24.288616062506033,0.13730434649177609,23.5
300,PQAKA,26.737237161648398,0.14678622894895202,26.0
300,UPQ-PAKE,28.001824461663926,0.1496308501466197,27.5
400,Liu et al.,31.465794491570744,0.1711560602917288,31.5
400,PQAKA,34.40998199943472,0.1829198594313869,34.0
400,UPQ-PAKE,35.823238931996855,0.18644895031520328,36.0
500,Liu et al.,38.744845684324886,0.16591778976809438,39.0
500,PQAKA,42.19135677128613,0.17735102834236138,42.5
500,UPQ-PAKE,43.75531035019576,0.18078097844520793,44.0
